name,email,role,city,wall_slug,population
James Furney,,Mayor,Port McNeill,james-furney-mayor,2356
Allen Courtoreille,,Mayor,Chetwynd,allen-courtoreille-mayor,2302
Laurie Hopfl,,Mayor,Lillooet,laurie-hopfl-councillor,2302
Robin Smith,,Mayor,Logan Lake,robin-smith-mayor,2255
Marilyn McEwen,,Mayor,Ucluelet,marilyn-mcewen-councillor,2066
Kevin Acton,,Mayor,Lumby,kevin-acton-mayor,2063
Steve Morissette,,Mayor,Fruitvale,steve-morissette-mayor,1958
Mitch Campsall,,Mayor,One Hundred Mile House,mitch-campsall-mayor,1928
Ed Wood,,Mayor,Harrison Hot Springs,ed-wood-mayor,1905
Leo Facio,,Mayor,Harrison Hot Springs,leo-facio-mayor,1905
Ward Stamer,,Mayor,Barriere,ward-stamer-mayor,1765
Frank Marino,,Mayor,Warfield,frank-marino-mayor,1753
Barbara Roden,,Mayor,Ashcroft,barbara-roden-mayor,1670
Henry Wiebe,,Mayor,Burns Lake,henry-wiebe-councillor,1659
Jason Wiebe,,Mayor,Keremeos,jason-wiebe-councillor,1608
Tom Zeleznik,,Mayor,Nakusp,tom-zeleznik-mayor,1589
Leroy Dekens,,Mayor,Telkwa,leroy-dekens-mayor,1474
Ken Berry,,Mayor,Lions Bay,ken-berry-mayor,1390
Martin Elphee,,Mayor,Fort St. James,martin-elphee-mayor,1386
MIKE GRAY,,Mayor,Radium Hot Springs,mike-gray-councillor,1339
Brent Taillefer,,Mayor,Taylor,brent-taillefer-councillor,1317
Michael Lott,,Mayor,Gold River,michael-lott-mayor,1246
Diana Lockwood,,Mayor,Salmo,diana-lockwood-mayor,1140
Owen Torgerson,,Mayor,Valemount,owen-torgerson-mayor,1052
Suzan Hewat,,Mayor,Kaslo,suzan-hewat-mayor,1049
MICHAEL WALSH,,Mayor,Montrose,michael-walsh-mayor,1013
John Ranta,,Mayor,Cache Creek,john-ranta-mayor,969
Sarrah Storey,,Mayor,Fraser Lake,sarrah-storey-mayor,965
Kris Olsen,,Mayor,Queen Charlotte,kris-olsen-mayor,964
David Heiberg,,Mayor,Hudson's Hope,david-heiberg-mayor,841
Sheri Disney,,Mayor,Masset,sheri-disney-mayor,838
Barry Pages,,Mayor,Masset,barry-pages-mayor,838
Mark Doherty,,Mayor,Canal Flats,mark-doherty-mayor,802
Danielle Veach,,Mayor,Pouce Coupe,danielle-veach-councillor,762
Kevin Cameron,,Mayor,Port Alice,kevin-cameron-mayor,739
John Bolt,,Mayor,Greenwood,john-bolt-mayor,702
Jaime Ross,,Mayor,Belcarra,jaime-ross-mayor,687
Douglas McMynn,,Mayor,Midway,douglas-mcmynn-mayor,651
Gail Lowry,,Mayor,New Hazelton,gail-lowry-mayor,602
Gene Runtz,,Mayor,McBride,gene-runtz-mayor,588
Roland Stanke,,Mayor,Clinton,roland-stanke-mayor,568
Angela Brand Danuser,,Mayor,Stewart,angela-brand-danuser-mayor,517
Leonard Casley,,Mayor,New Denver,leonard-casley-mayor,487
KNUT BJORNDAL,,Mayor,Port Edward,knut-bjorndal-mayor,470
Dennis Buchanan,,Mayor,Alert Bay,dennis-buchanan-mayor,449
Martin Davis,,Mayor,Tahsis,martin-davis-mayor,393
Dennis Buchanan,,Mayor,Alert Bay,dennis-buchanan-mayor,382
Jessica LUNN,,Mayor,Slocan,jessica-lunn-mayor,379
Scott Cabianca,,Mayor,Port Clements,scott-cabianca-mayor,340
Linda McGUIRE,,Mayor,Granisle,linda-mcguire-mayor,337
Mark Baker,,Mayor,Sayward,mark-baker-mayor,334
Julie Maitland,,Mayor,Hazelton,julie-maitland-councillor,257
Ed Coleman,,Mayor,Wells,ed-coleman-mayor,218
Denise O'Connor,,Mayor,Lytton,denise-o-connor-mayor,210
Colin Ferguson,,Mayor,Silverton,colin-ferguson-mayor,149
Julie Colborne,,Mayor,Zeballos,julie-colborne-mayor,126
Barb Desjardins,,Mayor,Esquimalt,barb-desjardins-mayor,120
