source,geo_or_category,trend_status,rank,title,metric,pub_age_minutes,published_at,related_context,url,fetched_at
google_trends,US,NEW_PAST_HOUR,6,landon doty,100+ searches,90m,2026-08-25T07:30:00.000Z,Indiana teen sentenced to decades in prison for raping 7-year-old on school bus; Indiana teen sentenced for rape of 7-year-old on school bus; 16-year-old gets 54 years in prison for assault of nonverbal child on bus,https://www.google.com/search?q=landon%20doty,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,7,tucson,100+ searches,90m,2026-08-25T07:30:00.000Z,"Suspect arrested in connection with murder of Tucson police recruit; PCSD, SWAT at home in connection to TPD recruit’s murder; Alex Barnett, 3rd suspect in fatal shooting of Tucson police recruit, taken into custody",https://www.google.com/search?q=tucson,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,8,lindsay lohan,100+ searches,90m,2026-08-25T07:30:00.000Z,"Shop Lindsay Lohan's White Minidress Before Booking Your Next Vacation; Lindsay Lohan Showed Us How to Dress Like a Yacht Wife — And It Starts With This Sleek Maxi Style; Lindsay Lohan Stuns in a $3,000 Strawberry Minidress During a Lavish Yacht Trip With Her 3-Year-Old Son",https://www.google.com/search?q=lindsay%20lohan,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,9,motor city,100+ searches,100m,2026-08-25T07:20:00.000Z,"Alan Ritchson’s ‘Motor City’ Looks For Jump-Start On Streaming This Week After Sputtering At Box Office; ‘Motor City’ comes to digital, but where will Alan Ritchson’s ‘Motor City’ movie be streaming for free?; Even in loud movies, the power of silence is undeniable",https://www.google.com/search?q=motor%20city,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,10,robert irwin,100+ searches,100m,2026-08-25T07:20:00.000Z,Dancing with the Stars ’ Witney Carson Reveals Her Celebrity Partner for Season 35; Witney Carson Spills ‘DWTS’ Rehearsal Schedule Secrets; Guillermo Rodriguez Responds to ‘DWTS’ Fans Saying He’ll Be Voted Off Early Because of Witney Carson’s Pregnancy,https://www.google.com/search?q=robert%20irwin,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,1,"Ford trades barbs with Trump, says Ontario won’t lift American booze ban - The Globe and Mail",Source: The Globe and Mail,485m,2026-08-25T00:55:02.000Z,"Published: Tue, 25 Aug 2026 00:55:02 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxNLUU5QnJFQko3bGFkallGWEtGcEY1VG5uZ0RhZVAxTU96Q1NMUk1DdUgxLS15bEE1SVpmNmdhU3ZtRmpqeURHbGlkRDVLRWtUSzdZSDBHeFY5N3Foemh5cVhPa3dVanNuRkNITmpSR2lndVhWUDdoOFJYWllaMWIxc3lBRzB3aEItY214OW5Jbk1wd3lPQ1hNZDVoN1dvM05KNUxObks5b2NXeXVJTXZaUVlrYl9LeHUxVEE?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,2,Carney commits $11B to build 6 icebreakers in Quebec - Global News,Source: Global News,929m,2026-08-24T17:31:03.000Z,"Published: Mon, 24 Aug 2026 17:31:03 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTFBUQlItbTJ0M0ctbmFvSWd1dkowSk81b3JKckFvejRlQXl3LTRmSUJBaGZWV0VNSGN4UWVoTWowcUZtb1RxSFlXX2hDYk9JdHpZaW95N1U2cy1vQzB5dXhoSi1GS1hoRXVwRHE4RkpxZm5MUWUzd0hBOGo3SQ?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,3,Ottawa rejected last-minute U.S. demand to drop Cancon rules for streamers - The Globe and Mail,Source: The Globe and Mail,1998m,2026-08-23T23:42:03.000Z,"Published: Sun, 23 Aug 2026 23:42:03 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVW9RM2ZtTTMwRlgwdE5mRmQ1YmpvLU14ZzlVY1dkczFoLVRYY2hCOV96cERHOFBNdmdCU1BqRjgtYU94NGo1SGd0NlgzNGlzdTJRVDlNMFF6YnhuNGJyVkprMjRWTFJqMWREMUN1eDQ2emZQZ0tCWXhJcy13NkFrYWE0VDBfLUJxRzNWdThkMk5QX2lqRDFiSktzRDRJUmIxODN5VGV5cXlRUQ?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,4,Opposition urges Premier Moe pull U.S. booze as cross-border tariff war spirals - CTV News,Source: CTV News,710m,2026-08-24T21:09:48.000Z,"Published: Mon, 24 Aug 2026 21:09:48 GMT",https://news.google.com/rss/articles/CBMitwFBVV95cUxQZWl6SmlpYUdUNTJFT0dmMGx4U2ZHVnhQS0xXV2tFaXJ6ckVwNzRKS3JBQWkydW55MnFpZnI2LTZ1MUFXcjg5Y1JybjAzSzc0a2R5VUIwQmVlNTVpRzUzMXNOeVpoUE5oZVhwa0RuRkhXMFNDX1dwelhyc1pRd1hZVjBOZWJ0aHdHbS1PZkNhT2g1eG1tVFExczVVRXJGTkdPdFhaUFJXemRjZlFoU2dXVm5xXzBFcEU?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,5,Vance calls Canada a U.S. state in ‘Freudian slip’ as trade fallout grows - Global News,Source: Global News,843m,2026-08-24T18:57:32.000Z,"Published: Mon, 24 Aug 2026 18:57:32 GMT",https://news.google.com/rss/articles/CBMiigFBVV95cUxPaGhZRnJ6b2dNR09kbzdXZVRuWnJ5T2lrYW1Oc1owLUxpczdTRHVHOFRyUFA2ZGNNZjB0WUNDdXh6OEFuWXNwbDctZ0h3dG9wMkk4bUc1b1pMQUcyYWlpaFlBc1czb3VXMVlwN19PbmdJM0pESUdOcm1DSld5WVcwRWNKc1JoeWdaTmc?oc=5,2026-08-25T09:00:05.740Z
